Ncpu,Nsim,Nchunk,Lpt,Tsim
16,1,256,1000,148.77
16,1,1024,1000,148.36
16,1,4096,1000,150.08
16,1,16384,1000,146.4
16,1,32768,1000,146.7
16,1,65536,1000,140.87
16,1,131072,1000,147.26
16,1,262144,1000,145.1
16,1,256,10000,147.81
16,1,1024,10000,146.7
16,1,4096,10000,144.21
16,1,16384,10000,144.85
16,1,32768,10000,144.23
16,1,65536,10000,143.71
16,1,131072,10000,140.44
16,1,262144,10000,142.38
16,1,256,100000,147.22
16,1,1024,100000,143.87
16,1,4096,100000,142.22
16,1,16384,100000,147.04
16,1,32768,100000,142.52
16,1,65536,100000,146.36
16,1,131072,100000,145.31
16,1,262144,100000,138.06
16,1,256,200000,151.96
16,1,1024,200000,145.82
16,1,4096,200000,145.77
16,1,16384,200000,149.65
16,1,32768,200000,147.97
16,1,65536,200000,143.38
16,1,131072,200000,145.09
16,1,262144,200000,147.24
16,1,256,300000,158.08
16,1,1024,300000,150.46
16,1,4096,300000,144.91
16,1,16384,300000,147.11
16,1,32768,300000,142.68
16,1,65536,300000,150.36
16,1,131072,300000,144.71
16,1,262144,300000,146.1
16,1,256,400000,163.66
16,1,1024,400000,150.64
16,1,4096,400000,152.26
16,1,16384,400000,147.57
16,1,32768,400000,141.25
16,1,65536,400000,152.78
16,1,131072,400000,146.71
16,1,262144,400000,148.26
16,1,256,500000,165.83
16,1,1024,500000,152.66
16,1,4096,500000,153.29
16,1,16384,500000,153.72
16,1,32768,500000,154.96
16,1,65536,500000,148.43
16,1,131072,500000,147.37
16,1,262144,500000,151.89
16,2,256,1000,157.71
16,2,1024,1000,159.23
16,2,4096,1000,158.81
16,2,16384,1000,158.54
16,2,32768,1000,156.78
16,2,65536,1000,156.07
16,2,131072,1000,159.64
16,2,262144,1000,158.26
16,2,256,10000,156.96
16,2,1024,10000,158.65
16,2,4096,10000,156.93
16,2,16384,10000,159.17
16,2,32768,10000,156.37
16,2,65536,10000,157.61
16,2,131072,10000,157.89
16,2,262144,10000,158.02
16,2,256,100000,162.83
16,2,1024,100000,159.4
16,2,4096,100000,159.33
16,2,16384,100000,157.53
16,2,32768,100000,156.6
16,2,65536,100000,157.33
16,2,131072,100000,158.17
16,2,262144,100000,155.88
16,2,256,200000,162.37
16,2,1024,200000,163.01
16,2,4096,200000,161.47
16,2,16384,200000,162.93
16,2,32768,200000,161.49
16,2,65536,200000,162.45
16,2,131072,200000,161.12
16,2,262144,200000,160.39
16,2,256,300000,162.78
16,2,1024,300000,165.13
16,2,4096,300000,165.27
16,2,16384,300000,161.45
16,2,32768,300000,163.57
16,2,65536,300000,164.92
16,2,131072,300000,163.78
16,2,262144,300000,164.43
16,2,256,400000,168.31
16,2,1024,400000,162.57
16,2,4096,400000,168.37
16,2,16384,400000,162.59
16,2,32768,400000,165.07
16,2,65536,400000,165.83
16,2,131072,400000,165.71
16,2,262144,400000,164.39
16,2,256,500000,170.14
16,2,1024,500000,169.55
16,2,4096,500000,167.4
16,2,16384,500000,168.77
16,2,32768,500000,168.62
16,2,65536,500000,168.66
16,2,131072,500000,168.68
16,2,262144,500000,168.2
16,3,256,1000,171.65
16,3,1024,1000,172.02
16,3,4096,1000,173.61
16,3,16384,1000,174.19
16,3,32768,1000,175.23
16,3,65536,1000,173.53
16,3,131072,1000,171
16,3,262144,1000,171.24
16,3,256,10000,172.12
16,3,1024,10000,171.77
16,3,4096,10000,172.25
16,3,16384,10000,172.71
16,3,32768,10000,171.32
16,3,65536,10000,172.27
16,3,131072,10000,171.62
16,3,262144,10000,172.44
16,3,256,100000,173.6
16,3,1024,100000,174.36
16,3,4096,100000,174.54
16,3,16384,100000,176.95
16,3,32768,100000,172.89
16,3,65536,100000,175.24
16,3,131072,100000,174.56
16,3,262144,100000,174.12
16,3,256,200000,179.24
16,3,1024,200000,175.65
16,3,4096,200000,175.13
16,3,16384,200000,175.4
16,3,32768,200000,176.04
16,3,65536,200000,175.56
16,3,131072,200000,173.73
16,3,262144,200000,174.09
16,3,256,300000,178.06
16,3,1024,300000,178.55
16,3,4096,300000,180.2
16,3,16384,300000,178.77
16,3,32768,300000,178.06
16,3,65536,300000,177.52
16,3,131072,300000,178.06
16,3,262144,300000,176.45
16,3,256,400000,181.36
16,3,1024,400000,181.3
16,3,4096,400000,181.08
16,3,16384,400000,180.58
16,3,32768,400000,179.78
16,3,65536,400000,179.86
16,3,131072,400000,179.52
16,3,262144,400000,180.01
16,3,256,500000,183.49
16,3,1024,500000,186.9
16,3,4096,500000,183.91
16,3,16384,500000,181.73
16,3,32768,500000,181.7
16,3,65536,500000,181.27
16,3,131072,500000,182.13
16,3,262144,500000,182.08
16,4,256,1000,194.37
16,4,1024,1000,189.99
16,4,4096,1000,193.19
16,4,16384,1000,189.1
16,4,32768,1000,188.33
16,4,65536,1000,187.85
16,4,131072,1000,188.59
16,4,262144,1000,188.95
16,4,256,10000,192.85
16,4,1024,10000,187.37
16,4,4096,10000,187.09
16,4,16384,10000,186.96
16,4,32768,10000,186.93
16,4,65536,10000,187.94
16,4,131072,10000,187.05
16,4,262144,10000,187.54
16,4,256,100000,189.89
16,4,1024,100000,193.77
16,4,4096,100000,193.75
16,4,16384,100000,190.56
16,4,32768,100000,189.43
16,4,65536,100000,188.91
16,4,131072,100000,189.71
16,4,262144,100000,189.06
